date,CD,C,S,ATW,ES,PA,SB,PL,GC,CL,AD,TU
2000-05-18,5.96e-05,-0.004316,-0.00521,0.0,0.0,0.0012268,-0.0044444,0.014892,0.0002832,0.0095536,-0.0017476,0.000446
2000-05-19,-0.0005372,0.0,0.0032,0.0,0.0,0.0031372,0.005548,0.013332,-0.0011316,-0.003386,-0.0016708,-0.0006368
2000-05-22,0.0005372,0.0,0.0,0.0,0.0,-0.0057,0.00764,0.0057252,-0.0022536,-0.0151064,-6.96e-05,-0.0005724
2000-05-23,0.0023964,-0.0042576,-0.0028484,0.0,0.003952,0.0036112,0.00323,0.0083224,0.0021124,-0.0005652,-0.0005552,0.0002224
2000-05-24,0.0010832,-0.0058796,-0.0055768,0.0,0.0,0.0,0.0016052,0.003266,0.0011312,0.0125316,0.002156,3.16e-05
2000-05-25,-0.0015036,-0.0059672,-0.011952,0.0,0.003948,0.0,0.0068832,-0.011822,0.0045568,0.0061216,0.000698,0.0
2000-05-26,-0.00054,0.0,0.0,0.0,0.0018464,0.0,0.0041776,0.0031044,-0.0021424,-0.0076324,-0.0016732,0.0
2000-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,0.0012008,0.0149436,0.0,0.0,-0.0120584,-0.003668,-0.0015616,0.0057564,-0.0008536,0.0046512,-0.0041524,0.0
2000-05-31,-0.0029352,-0.0016428,0.0,0.0,-0.0009656,0.0,-0.0020916,-0.0061432,0.0009964,-0.0136968,0.003596,0.0
2000-06-01,-0.0016084,0.0,-0.0041648,0.0,0.0,0.0,0.0118796,0.0011592,-0.000854,0.0123344,-0.0001388,0.0
2000-06-02,-0.003256,-0.00731,-0.0085704,0.0,0.0,0.0,0.0149832,0.012084,-0.0121836,0.0017704,-0.004214,0.0
2000-06-05,0.0,0.00772,0.0025892,0.0,0.0,0.0,-0.0049324,0.0052064,-0.0056156,-0.0071284,-0.002466,0.0
2000-06-06,-0.0005892,-0.0016376,0.0,0.0,-0.0025512,0.0,0.005422,-0.0051316,0.0,0.0006908,-0.0046848,0.0
2000-06-07,0.0,0.0090912,0.0,0.0,0.0,-0.0130296,-0.00049,-0.012236,0.0,0.0042576,-0.0020872,0.0
